Term,Course Number,Course Title,Section,Teach Type,Meeting Day,Meeting Time,Room,GROUP,,,,,,,,,,,,,,Total,รหัสกลุ่ม,สาขาวิชา,จำนวนนิสิต
1661,2301107,CALCULUS I,7,LEC,MO WE FR,09:00-10:00,TAB-221,20,21,22,39,,,,,,,,,,,108,2390101,ชีววิทยา,34
1661,2301107,CALCULUS I,8,LEC,TU,11:00-12:00,MHMK-208,3,12,13,41,,,,,,,,,,,79,2390102,สัตววิทยา,21
1661,2301107,CALCULUS I,8,LEC,FR,13:00-15:00,MHMK-208,3,12,13,41,,,,,,,,,,,79,2390103,วิทยาการคอมพิวเตอร์,5
1661,2301113,CALCULUS I,1,LEC,MO WE FR,08:00-09:00,MHMK-308,25,26,27,,,,,,,,,,,,85,2390104,พฤกษศาสตร์,21
1661,2301113,CALCULUS I,1,LEC,TU,08:00-09:00,MHMK-M01,25,26,27,,,,,,,,,,,,85,2390105,พันธุศาสตร์,33
1661,2301105,CALCULUS I,1,LEC,MO WE FR,09:00-10:00,MHMK-308,1,2,4,23,24,42,33,,,,,,,,172,2390106,ชีวเคมี,31
1661,2301105,CALCULUS I,2,LEC,MO WE FR,10:00-11:00,MHMK-M01,6,7,8,9,5,31,45,,,,,,,,177,2390107,ชีวเคมี,30
1661,2301117,CALCULUS I,1,LEC,MO WE FR,10:00-11:00,TAB-220,28,40,34,35,36,32,44,,,,,,,,187,2390108,จุลชีววิทยา,31
1661,2301117,CALCULUS I,1,LEC,TU,08:00-09:00,TAB-220,28,40,34,35,36,32,44,,,,,,,,187,2390109,จุลชีววิทยา,33
1661,2301117,CALCULUS I,2,LEC,MO WE FR,10:00-11:00,TAB-221,18,19,29,30,43,,,,,,,,,,161,2390110,คณิตศาสตร์,32
1661,2301117,CALCULUS I,2,LEC,TH,08:00-09:00,TAB-221,18,19,29,30,43,,,,,,,,,,161,2390111,คณิตศาสตร์,22
1661,2301117,CALCULUS I,3,LEC,MO TU WE FR,08:00-09:00,TAB-221,14,15,16,17,37,38,10,11,,,,,,,198,2390112,วิทยาการคอมพิวเตอร์,34
1661,2301170,COMP PROG,1,LEC,MO WE FR,11:00-12:00,MHMK-308,10,11,,,,,,,,,,,,,54,2390113,วิทยาการคอมพิวเตอร์,34
1661,2301172,COMP PROG LAB,1,LAB,MO,13:00-15:00,MATH-509/2,10,11,,,,,,,,,,,,,54,2390114,เคมี,33
1661,2301173,PROGRAMMING,1,LEC,TH,09:00-12:00,TAB-221,3,12,,,,,,,,,,,,,39,2390115,เคมี,33
1661,2301173,PROGRAMMING,1,LAB,TU,09:00-11:00,MATH-508/1,3,12,,,,,,,,,,,,,39,2390116,เคมี,33
1661,2301173,PROGRAMMING,2,LEC,TH,13:00-16:00,TAB-221,13,41,,,,,,,,,,,,,40,2390117,เคมี,20
1661,2301173,PROGRAMMING,2,LAB,TU,09:00-11:00,MATH-708/5,13,41,,,,,,,,,,,,,40,2390118,ฟิสิกส์,33
1661,2302100,EXPL WORLD CHEM,1,LEC,TH,10:00-12:00,MHMK-208,14,15,16,17,37,38,,,,,,,,,144,2390119,ฟิสิกส์,33
1661,2302110,CHEM HAZARD,1,LEC,TH,08:00-10:00,MHMK-208,14,15,16,17,37,38,,,,,,,,,144,2390120,เคมีวิศวกรรม,31
1661,2302111,GEN CHEM I,1,LEC,MO WE FR,09:00-10:00,MHMK-202,27,28,34,35,36,6,25,,,,,,,,214,2390121,เคมีวิศวกรรม,32
1661,2302111,GEN CHEM I,2,LEC,MO WE FR,09:00-10:00,MHMK-302,14,15,16,17,7,40,26,,,,,,,,187,2390122,เคมีวิศวกรรม,32
1661,2302111,GEN CHEM I,3,LEC,MO WE FR,11:00-12:00,MHMK-202,1,45,32,29,30,43,44,31,42,,,,,,229,2390123,ธรณีวิทยา,32
1661,2302111,GEN CHEM I,4,LEC,MO WE FR,11:00-12:00,MHMK-302,4,5,8,9,23,24,37,38,2,33,,,,,230,2390124,ธรณีวิทยา,13
1661,2302113,GEN CHEM LAB,1,LAB,TU,13:00-16:00,MHMK-701,20,21,,,,,,,,,,,,,63,2390125,วิทยาศาสตร์สิ่งแวดล้อม,30
1661,2302113,GEN CHEM LAB,2,LAB,TU,13:00-16:00,MHMK-703,22,39,,,,,,,,,,,,,45,2390126,วิทยาศาสตร์สิ่งแวดล้อม,30
1661,2302115,GEN CHEM LAB I,1,LAB,MO,13:00-16:00,MHMK-706,14,15,,,,,,,,,,,,,66,2390127,วิทยาศาสตร์สิ่งแวดล้อม,25
1661,2302115,GEN CHEM LAB I,2,LAB,MO,13:00-16:00,MHMK-708,16,17,,,,,,,,,,,,,53,2390128,วิทยาศาสตร์ทางทะเล ,32
1661,2302115,GEN CHEM LAB I,3,LAB,TU,09:00-12:00,MHMK-706,28,2,31,,,,,,,,,,,,67,2390129,วัสดุศาสตร์,31
1661,2302115,GEN CHEM LAB I,4,LAB,TU,09:00-12:00,MHMK-708,35,4,,,,,,,,,,,,,53,2390130,วัสดุศาสตร์,32
1661,2302115,GEN CHEM LAB I,5,LAB,TU,13:00-16:00,MHMK-706,6,7,,,,,,,,,,,,,61,2390131,พันธุศาสตร์,14
1661,2302115,GEN CHEM LAB I,6,LAB,TU,13:00-16:00,MHMK-708,9,33,45,,,,,,,,,,,,59,2390132,เทคโนโลยีทางภาพและการพิมพ์,22
1661,2302115,GEN CHEM LAB I,7,LAB,WE,13:00-16:00,MHMK-706,25,26,,,,,,,,,,,,,60,2390133,ชีววิทยา,21
1661,2302115,GEN CHEM LAB I,8,LAB,WE,13:00-16:00,MHMK-708,34,44,,,,,,,,,,,,,61,2390134,เทคโนโลยีทางอาหาร,32
1661,2302115,GEN CHEM LAB I,9,LAB,TH,09:00-12:00,MHMK-706,40,29,32,,,,,,,,,,,,61,2390135,เทคโนโลยีทางอาหาร,32
1661,2302115,GEN CHEM LAB I,10,LAB,TH,09:00-12:00,MHMK-708,27,30,,,,,,,,,,,,,57,2390136,เทคโนโลยีทางอาหาร,32
1661,2302115,GEN CHEM LAB I,11,LAB,TH,13:00-16:00,MHMK-706,36,37,38,,,,,,,,,,,,57,2390137,เคมี,13
1661,2302115,GEN CHEM LAB I,12,LAB,TH,13:00-16:00,MHMK-708,43,8,,,,,,,,,,,,,63,2390138,เคมี,12
1661,2302115,GEN CHEM LAB I,13,LAB,FR,13:00-16:00,MHMK-706,5,42,,,,,,,,,,,,,63,2390139,เคมีวิศวกรรม,13
1661,2302115,GEN CHEM LAB I,14,LAB,FR,13:00-16:00,MHMK-708,1,,,,,,,,,,,,,,34,2390140,วิทยาศาสตร์ทางทะเล ,8
1661,2302161,GEN CHEM,2,LEC,TU,08:00-09:00,MHMK-M01,20,21,22,39,,,,,,,,,,,108,2390141,วิทยาการคอมพิวเตอร์,6
1661,2302161,GEN CHEM,2,LEC,TH,10:00-12:00,MHMK-202,20,21,22,39,,,,,,,,,,,108,2390142,พฤกษศาสตร์,30
1661,2304101,GEN PHYS I,1,LEC,MO WE FR,08:00-09:00,MHMK-304,28,40,,,,,,,,,,,,,40,2390143,วัสดุศาสตร์,32
1661,2304103,GEN PHYS I,1,LEC,MO WE FR,08:00-09:00,PHYS I-204,18,19,20,21,22,39,,,,,,,,,174,2390144,เทคโนโลยีทางภาพและการพิมพ์,29
1661,2304121,PHYS PHYS SCI,1,LEC,MO WE FR,10:00-11:00,PHYS I-204,3,10,11,12,13,23,24,41,,,,,,,178,2390145,พันธุศาสตร์,5
1661,2304122,PHYS BIO SCI,1,LEC,MO WE FR,10:00-11:00,MHMK-M01,1,2,33,,,,,,,,,,,,76,,รวม,1167
1661,2304181,FUND PHYS LAB,1,LAB,TH,09:00-12:00,MHMK-501,13,41,10,11,23,,,,,,,,,,126,,,
1661,2304181,FUND PHYS LAB,2,LAB,TH,13:00-16:00,MHMK-501,3,12,1,2,33,24,,,,,,,,,128,,,
1661,2304183,GEN PHYS LAB I,1,LAB,TU,09:00-12:00,MHMK-501,20,21,22,39,,,,,,,,,,,108,,,
1661,2304183,GEN PHYS LAB I,2,LAB,WE,13:00-16:00,MHMK-501,18,19,28,40,,,,,,,,,,,106,,,
1661,2303101,GEN BIO I,1,LEC,MO WE,08:00-09:00,MHMK-M02,4,5,8,9,1,2,33,42,31,45,,,,,243,,,
1661,2303101,GEN BIO I,1,LEC,FR,08:00-09:00,MHMK-M02,4,5,8,9,1,2,33,42,31,45,,,,,243,,,
1661,2303101,GEN BIO I,2,LEC,MO WE,11:00-12:00,MHMK-M02,7,6,25,26,27,28,40,,,,,,,,250,,,
1661,2303101,GEN BIO I,2,LEC,FR,11:00-12:00,MHMK-M02,7,6,25,26,27,28,40,4,5,,,,,,250,,,
1661,2303102,GEN BIO LAB I,1,LAB,WE,13:00-16:00,MHMK-401,1,5,6,7,,,,,,,,,,,0,,,
1661,2303102,GEN BIO LAB I,3,LAB,TH,13:00-16:00,MHMK-409,4,42,31,,,,,,,,,,,,128,,,
1661,2303102,GEN BIO LAB I,4,LAB,FR,13:00-16:00,MHMK-401,25,28,40,27,2,,,,,,,,,,65,,,
1661,2303102,GEN BIO LAB I,5,LAB,FR,13:00-16:00,MHMK-409,8,9,26,33,45,,,,,,,,,,116,,,
1661,2303107,GENERAL BIOLOGY,1,LEC,MO WE FR,10:00-11:00,MHMK-M02,14,15,16,17,37,38,,,,,,,,,120,,,
